catalog,series,nside,delta_disc_mas,cdf
ucac4,before,64,2.123,0.0947323445034487
ucac4,before,64,2.1390000000000002,0.0953986856294126
ucac4,before,64,2.155000000000001,0.09606502675537651
ucac4,before,64,2.1710000000000003,0.09673136788134042
ucac4,before,64,2.186,0.09740279558078496
ucac4,before,64,2.203,0.09806913670674887
ucac4,before,64,2.216000000000001,0.09873547783271278
ucac4,before,64,2.2319999999999993,0.09940181895867668
ucac4,before,64,2.249,0.10006816008464059
ucac4,before,64,2.2619999999999996,0.10073450121060448
ucac4,before,64,2.276,0.10140084233656839
ucac4,before,64,2.290000000000001,0.10207227003601294
ucac4,before,64,2.3040000000000003,0.10273861116197684
ucac4,before,64,2.3200000000000003,0.10340495228794075
ucac4,before,64,2.335,0.10407129341390466
ucac4,before,64,2.349,0.10473763453986856
ucac4,before,64,2.3640000000000008,0.10540397566583247
ucac4,before,64,2.3790000000000013,0.10607031679179638
ucac4,before,64,2.396000000000001,0.10674174449124092
ucac4,before,64,2.411,0.10740808561720483
ucac4,before,64,2.426,0.10807442674316874
ucac4,before,64,2.4400000000000013,0.10874076786913264
ucac4,before,64,2.4540000000000006,0.10940710899509655
ucac4,before,64,2.47,0.11007345012106044
ucac4,before,64,2.484,0.11074487782050499
ucac4,before,64,2.497,0.1114112189464689
ucac4,before,64,2.5120000000000005,0.1120775600724328
ucac4,before,64,2.529,0.11274390119839671
ucac4,before,64,2.545,0.11341024232436062
ucac4,before,64,2.559000000000001,0.11407658345032452
ucac4,before,64,2.574,0.11474292457628843
ucac4,before,64,2.5889999999999995,0.11541435227573298
ucac4,before,64,2.6039999999999996,0.11608069340169688
ucac4,before,64,2.619999999999999,0.11674703452766079
ucac4,before,64,2.636000000000003,0.1174133756536247
ucac4,before,64,2.653999999999998,0.1180797167795886
ucac4,before,64,2.6710000000000003,0.11874605790555251
ucac4,before,64,2.6850000000000005,0.1194123990315164
ucac4,before,64,2.6990000000000016,0.12008382673096095
ucac4,before,64,2.716000000000001,0.12075016785692486
ucac4,before,64,2.7310000000000008,0.12141650898288876
ucac4,before,64,2.747,0.12208285010885267
ucac4,before,64,2.7659999999999996,0.12274919123481658
ucac4,before,64,2.7800000000000002,0.12341553236078048
ucac4,before,64,2.7939999999999996,0.12408696006022503
ucac4,before,64,2.8070000000000004,0.12475330118618894
ucac4,before,64,2.8240000000000016,0.12541964231215283
ucac4,before,64,2.8419999999999996,0.12608598343811675
ucac4,before,64,2.858,0.12675232456408064
ucac4,before,64,2.873,0.12741866569004456
ucac4,before,64,2.888,0.12808500681600846
ucac4,before,64,2.9019999999999975,0.12875643451545302
ucac4,before,64,2.917,0.1294227756414169
ucac4,before,64,2.931000000000001,0.13008911676738083
ucac4,before,64,2.9459999999999997,0.13075545789334472
ucac4,before,64,2.9590000000000014,0.13142179901930864
ucac4,before,64,2.9730000000000003,0.13208814014527254
ucac4,before,64,2.988999999999997,0.1327595678447171
ucac4,before,64,3.0039999999999996,0.133425908970681
ucac4,before,64,3.0200000000000005,0.13409225009664488
ucac4,before,64,3.0360000000000014,0.1347585912226088
ucac4,before,64,3.05,0.1354249323485727
ucac4,before,64,3.0649999999999995,0.13609127347453662
ucac4,before,64,3.081,0.1367576146005005
ucac4,before,64,3.095,0.13742904229994507
ucac4,before,64,3.111999999999999,0.13809538342590896
ucac4,before,64,3.127,0.13876172455187288
ucac4,before,64,3.1419999999999995,0.13942806567783678
ucac4,before,64,3.154,0.1400944068038007
ucac4,before,64,3.1689999999999996,0.1407607479297646
ucac4,before,64,3.183,0.1414270890557285
ucac4,before,64,3.197,0.14209851675517304
